source,destination,self,network,calls
nginx-web,payment,34.0,0.0,1
payment,rs-user,6.0,6.5,2
rs-user,rs-mongodb,5.333333333333333,0.0,6
payment,paypal.com,2236.0,0.0,1
payment,www.paypal.com,605.0,0.0,2
payment,rabbitmq,2.0,0.0,1
payment,rs-cart,2.0,4.0,1
rs-cart,redis,0.7777777777777778,0.0,9
nginx-web,rs-shipping,449.0,0.0,1
rs-shipping,rs-cart,16.0,78.0,1
rs-shipping,rs-mysql-db,30.0,0.0,4
rs-ratings,rs-mysql-db,0.2222222222222222,0.0,18
nginx-web,rs-cart,7.5,0.0,2
rs-cart,rs-catalogue,4.5,4.0,2
rs-catalogue,rs-mongodb,2.5,0.0,6
nginx-web,rs-ratings,7.0,1.0,1
rs-ratings,ratings,0.2,0.0,10
catalogue,rs-mongodb,1.0,0.0,1
user,redis,2.0,0.0,1
